Plot	number_of_individuals	number_of_species	sand_cover	depth	rugosity	Altolamprologus_compressiceps	Altolamprologus_fasciatus	Asprotilapia_leptura	Aulonocranus_dewindti	Callochromis_macrops	Chalinochromis_brichardi	Ctenochromis_horei	Cyatopharynx_furcifer	Cyprichromis_leptosoma	Enantiopus_melanogenys	Eretmodus_cyanostictus	Gnatochromis_pfefferi	Grammatotria_lemairii	Haplotaxodon_microlepis	Interochromis_loocki	Julidochromis_ornatus	Lamprologus_callipterus	Lepidiolamprologus_lemairi	Lepidiolamprologus_attenuatus	Lepidiolamprologus_elongatus	Limnotilapia_dardenni	Lobochilotes_labiatus	Neolamprologus_caudopunctatus	Neolamprologus_cylindricus	Neolamprologus_furcifer	Neolamprologus_modestus	Neolamprologus_prochilus	Neolamprologus_pulcher	Neolamprologus_savoryi	Neolamprologus_tetracanthus	Ophthalmotilapia_nasuta	Ophthalmotilapia_ventralis	Paracyprichromis_brieni	Perrisodus_microlepis	Petrochromis_ephippium	Petrochromis_famula	Petrochromis_fasciolatus	Petrochromis_polyodon	Plecodus_straeleni	Psuedosimichromis_curvifrons	Simochromis_babaulti	Simochromis_diagramma	Telmatochromis_temporalis	Telmatochromis_vittatus	Tropheus_moorii	Variabilichromis_moorii	Xenotilapia_boulengeri	Xenotilapia_flavipinnis	Xenotilapia_spiloptera
1	135	17	13.366	13.75	1.545659722	1	0	0	0	0	0	0	0	10	0	0	0	0	0	14	10	0	5	0	9	0	3	10	0	1	0	0	0	19	0	0	3	0	0	1	0	0	0	1	0	0	0	8	20	1	0	0	0	19
2	217	16	54.397	13.85	1.326308962	0	0	0	0	0	1	0	0	1	0	0	0	0	0	13	0	0	2	2	8	0	0	37	0	0	0	0	35	22	22	0	0	0	2	0	0	0	0	0	0	0	0	15	33	1	0	12	0	11
3	172	24	6.976	12.95	1.460023148	2	2	0	0	0	4	0	0	21	0	0	0	0	0	14	8	0	4	1	8	0	0	1	4	2	0	0	0	16	3	18	0	2	3	13	0	0	0	2	0	0	0	6	20	7	3	0	0	8
4	74	21	19.726	15.1	1.150324074	0	0	0	0	0	1	0	0	4	0	0	0	0	0	10	6	4	2	0	2	0	2	1	1	1	1	0	0	4	6	0	0	0	4	5	0	0	0	0	0	0	0	3	10	1	0	3	0	3
5	79	21	38.061	14.4	1.47370283	0	2	0	0	0	1	0	1	5	0	0	1	0	0	9	1	3	0	2	2	0	0	0	0	2	0	0	0	5	5	0	2	0	4	7	0	0	0	0	0	0	0	4	7	2	0	4	0	10
6	65	16	75.405	12.85	1.608090278	0	0	0	0	0	0	0	0	2	0	0	0	1	0	14	0	3	2	0	1	0	3	0	1	0	0	0	0	5	4	0	0	0	2	3	0	4	0	0	0	0	0	3	5	0	0	12	0	0
7	338	26	7.768	10.95	1.340754717	6	3	0	0	0	11	0	6	6	0	0	4	0	0	39	14	9	5	6	12	0	7	1	0	0	0	0	0	53	23	9	0	0	9	3	0	1	0	0	0	0	0	47	18	28	5	5	0	8
8	446	25	4.835	9.8	1.267719907	0	4	0	0	0	1	0	0	0	0	1	5	0	2	23	1	7	2	1	5	0	3	1	0	0	1	0	211	46	4	0	0	0	0	0	3	0	0	2	0	0	0	39	42	12	11	17	0	2
9	310	26	14.408	8.15	1.31025463	2	4	0	0	0	3	0	2	0	0	0	2	0	0	30	21	4	10	2	4	1	5	10	0	0	0	0	4	7	10	0	4	0	5	0	0	1	0	0	0	0	0	70	35	31	16	7	0	20
10	577	28	0	11.15	1.701666667	2	0	12	0	5	11	0	40	378	0	0	3	0	0	24	5	4	3	1	0	3	4	0	2	5	0	0	0	1	0	13	2	0	7	21	0	2	0	0	0	0	0	2	5	11	3	2	0	6
