Week	2005	2006	2007	2008	2009	2010
1		253	459	540	467	203
2		164	316	687	801	475
3		373	316	592	604	283
4		565	434	459	504	539
5		438	357	399	443	363
6		594	435	434	548	798
7	319	382	343	319	569	549
8	570	451	442	261	571	82
9	759	306	248	228	823	549
10	182	711	203	323	789	216
11	321	289	301	346	469	297
12	130	129	229	401	538	325
13	12	196	298	228	436	456
14	265	196	255	415	488	239
15	153	46	253	388	578	279
16	364	142	566	463	338	287
17	399	292	313	468	525	366
18	419	335	286	122	362	295
19	112	433	336	620	402	305
20	209	188	575	410	371	288
21	411	261	473	378	538	408
22	703	598	297	547	760	344
23	324	311	367	283	325	239
24	317	328	477	409	329	242
25	9	299	455	522	412	249
26	6	416	641	559	330	331
27	584	332	30	154	336	324
28	58	104	0	208	396	473
29	182	408	155	79	308	295
30	0	15	541	97	434	340
31	7	0	603	271	394	427
32	0	26	478	88	390	99
33	28	125	246	474	363	508
34	354	896	534	438	35	228
35	163	327	307	190	281	153
36	484	213	664	28	529	196
37	198	396	532	299	394	191
38	446	489	820	465	357	175
39	80	473	540	589	456	362
40	319	511	553	344	459	177
41	340	567	671	698	272	388
42	244	427	795	746	331	390
43		559	658	416	201	385
44		477	503	499	285	340
45		436	537	262	352	125
46		611	673	496	608	1
47		533	468	595	482	150
48	126	504	780	271	374	283
49	442	332	630	656	322	395
50	396	455	370	440	309	433
51	189	199	243	521	415	547
52	297	471		435	457	
